PHONE_USE_MTH,L90D_RG_CTT_TM,SCR_CELL_CALLED_TIMES,SCR_CELL_CALLED_PHONE_CNT,SCR_CELL_CTT_DAYS_CNT,SCR_CELL_CALLED_CTT_DAYS_CNT,SCR_CELL_180_CALLING_SUBTTL,SCR_CELL_MRNG_CALLED_TIMES,SCR_CELL_CALL_TTL_TIME,SCR_CELL_AFTN_CALL_TTL_TIME,SCR_CELL_NIGHT_CALL_TTL_TIME,SCR_CELL_90DAY_CALLING_TIMES,SCR_CELL_90DAY_CALL_TIMES,SCR_CELL_CALL_PHONE_CNT,SCR_CELL_CALLING_CTT_DAYS_CNT,SCR_CELL_CALLED_TTL_TIME,SCR_CELL_NIGHT_CALLED_TTL_TIME,SCR_CELL_AFTN_CALLING_TTL_TIME,SCR_CELL_NIGHT_CALLING_TTL_TIME,SCR_CELL_DAY_CALLING_TTL_TIME,SCR_CELL_EVN_CALL_TTL_TIME,SCR_CELL_CALLING_TTL_TIME,SCR_CELL_90DAY_CALLING_TTL_TIME,SCR_CELL_CALL_SMY_ANS_AFTN_CNT,SCR_CELL_CALL_SMY_ANS_AFTN_TM,SCR_CELL_LOCAL_CALL_TIME,SCR_CELL_90DAY_CALL_TTL_TIME,SCR_CELL_CALL_LSTM2_CONTACTS_CNT,SCR_CELL_NET_LSTM6_ONL_FLOW,SMS_L150D_TTL_PPL,SMS_L30D_SEND_CNT,SMS_L30D_TOTAL_CNT,sms_l90d_send_cnt,sms_l90d_total_cnt,SCR_CELL_SMS_LSTM3_SEND_CNT,TRC_LSM1_AVG_PLAN_AMT,TRC_LSM1_AVG_TOTAL_AMT,TRC_LSM5_PLAN_AMT,TRC_LSM5_TOTAL_AMT,SCR_CELL_MAX_PLAN_AMT,SCR_CELL_PH_USE_MONS
5,13721,1157,221,171,166,0,424,326876,78115,22233,0,0,293,166,146651,50430,36863,8217,67778,7580,180225,71651,391,41252,0,147458,118,-9999999,28,23,23,51,51,36,79,172.53,395,837.74,79,5
37,8621,530,330,153,151,301.19,169,55528,24702,3428,0,0,365,58,42097,9693,6892,1008,11069,174,13431,2512,241,17810,49912,21246,120,-9999999,17,73,73,334,334,387,24,24.29,180,216.19,44,37
5,1985,201,89,47,46,0,51,20679,7736,750,0,0,143,45,10783,2854,3402,202,6419,82,9896,6452,77,4334,0,12595,58,-9999999,5,13,13,33,33,38,199,199.5,1265,1323.11,289,5
5,721,47,21,107,36,10.65,14,65284,12361,3526,0,0,50,101,3914,2601,11460,3479,20830,1450,61370,19802,17,901,0,20863,26,-9999999,2,17,17,21,21,21,99,99,495,506.25,99,5
5,21350,2215,608,173,173,0,755,787985,236340,55281,0,0,1158,173,227177,66357,161778,40571,351853,5841,560808,280720,861,74562,0,390018,383,-9999999,152,850,850,2388,2388,2142,527.39,374.99,2125.78,2512.03,527.39,5
40,8569,863,119,170,159,0,144,219140,84753,10414,0,0,174,153,125976,61758,36820,6632,51001,3190,93164,36097,332,47933,202364,105450,100,-9999999,20,1730,1730,2984,2984,1789,144,144,808.91,809.21,212.89,40
5,3352,824,103,166,158,0,198,100097,36948,13740,0,0,138,142,47582,14398,21610,6733,29333,3755,52515,38164,262,15338,0,70301,71,-9999999,4,4,4,6,6,3,233.62,180.2,1168.46,900.2,234,5
30,9540,492,145,146,127,0,136,96721,23786,14668,0,0,215,107,52944,18326,11238,7167,21312,7379,43777,22071,147,12548,0,52589,116,-9999999,7,5,7,105,195,102,76,124,380,502.9,76,30
5,7980,1150,199,172,172,0,388,141682,41251,16309,0,0,260,154,71921,24378,21682,8827,37783,1435,69761,46656,330,19569,0,92702,127,-9999999,26,586,586,1449,1449,1109,0,0,676,676.2,169,5
57,1969,964,220,172,168,993.51,163,111477,38932,14275,0,0,274,166,65838,29307,17422,7057,20894,7562,45639,22511,410,21510,459,57375,107,-9999999,18,6,6,24,24,35,398,425.39,1570.5,1734.05,398,57
81,3356,393,109,144,130,191.9,111,50236,16497,11333,0,0,131,96,33419,6349,4906,3758,8460,5589,16817,6246,136,11591,1390,17589,41,-9999999,12,95,95,204,204,181,143,455.4,932,1907.98,253,81
82,4349,184,110,143,52,680.14,83,57316,25787,1550,0,0,163,39,13353,951,8266,565,15196,0,19791,2749,78,6525,55148,20909,45,-9999999,2,342,342,631,631,458,88,109.2,360,644.86,88,82
5,6217,1797,321,172,172,98.85,587,292247,99090,27320,0,0,830,170,143098,39781,54235,15397,100963,1319,149149,85078,592,44855,0,162119,393,-9999999,13,8,8,22,22,21,129,218.74,645,1117.56,129,5
56,11012,661,294,170,166,1325.4,117,78650,25477,24829,0,0,356,140,32711,5191,14384,13098,23420,20154,45939,20364,226,11093,43064,35897,160,-9999999,9,21,21,74,74,73,60,104.08,360,591.05,120,56
5,4233,228,67,36,34,32.8,53,44718,18094,4604,0,0,93,34,20480,5561,9783,3101,13636,489,24238,10910,91,8311,0,20670,57,-9999999,26,26,26,135,135,176,59,112.3,295,1504.5,59,5
5,17369,1413,286,173,171,24.9,400,267601,85503,36032,0,0,648,173,97620,25405,51131,25796,100997,3838,169981,83302,456,34372,0,125833,333,-9999999,24,13,13,42,43,47,169,267.66,845,1504.62,169,5
82,3992,934,204,171,169,9.6,330,94858,37489,3860,0,0,231,117,72347,8522,5520,573,16218,42,22511,9256,389,31969,0,48861,93,-9999999,17,6,6,16,16,23,0,234,0,1170,0,82
86,10631,681,312,168,161,188.67,210,56470,20340,3317,0,0,374,138,29951,6524,8466,1689,19622,736,26519,13586,288,11874,49592,29782,144,-9999999,27,23,23,61,61,54,70,93.6,300,703.35,170,86
5,492,8,6,20,7,0,5,5703,672,550,0,0,17,15,1783,47,672,195,1738,0,3920,3136,0,0,0,4446,3,-9999999,4,2,2,3,3,1,246,259.4,1153,1178.52,246,5
42,9452,692,244,165,158,0,266,79910,28613,5845,0,0,318,126,49200,9162,9588,3015,21681,138,30710,20437,275,19025,0,46287,136,-9999999,23,19,23,30,44,13,78,110,420,578,108,42
5,12935,2013,578,173,173,100.8,711,259305,85367,36304,0,0,723,173,112871,21895,43219,22002,95519,2142,146434,66446,659,42148,0,120157,302,-9999999,17,12,12,30,30,29,129,165.08,645,1030.39,129,5
78,15387,105,84,114,70,207.9,44,28927,14182,480,0,0,132,84,6948,994,10467,406,19264,0,21979,15222,51,3715,0,19704,65,-9999999,6,12,976,51,2124,47,158,184,800,840.49,208,78
73,10313,662,254,158,126,455.56,243,47166,15886,4214,0,0,315,86,30374,5988,4116,1871,8883,558,13111,10448,251,10541,35963,34864,155,-9999999,21,1819,1819,2934,2934,1947,113,141.29,565,680.29,113,73
3,3620,421,93,57,55,0,142,58740,11164,10570,0,0,141,55,25870,8168,5013,9074,15604,924,32870,14836,117,6151,0,29115,78,-9999999,0,0,0,0,0,0,0,0,0,684.08,0,3
5,9302,594,58,114,108,0,157,350015,128820,39846,0,0,120,109,190485,64356,60176,21428,96555,3362,159530,37751,214,68644,0,73811,34,-9999999,0,0,0,0,0,0,0,0,0,536.2,0,5
5,8623,1593,267,173,173,0,462,199941,70309,13606,0,0,330,164,119123,35115,27359,7741,50230,6677,80818,39394,548,42950,0,97830,158,-9999999,0,0,0,0,0,0,0,298.15,0,1121.53,0,5
5,5546,1093,277,168,166,0,135,119842,33125,24586,0,0,346,155,78279,29203,13133,5992,18703,11068,41563,19234,238,19992,0,60200,132,-9999999,6,8,8,19,19,24,0,110.5,0,776.53,0,5
5,3638,412,110,86,58,0,126,111848,33483,7143,0,0,213,58,36743,11924,13390,3299,26664,375,37993,8999,130,10262,0,53261,102,-9999999,0,0,0,0,0,0,82.69,207.46,321.19,746.34,90.42,5
90,19389,299,196,150,123,0,114,100946,25878,2323,0,0,253,105,28303,11470,16567,1866,31810,0,72643,48175,117,9311,0,67139,121,-9999999,17,26,26,72,72,59,158,167.4,810,862.9,218,90
5,917,265,60,126,102,0,79,89510,36611,4605,0,0,80,92,44521,15214,18081,1924,27750,477,44989,23274,94,18462,0,47387,29,-9999999,4,1,1,2,2,5,0,184.24,0,919.99,0,5
5,54500,2352,682,139,137,0,967,275004,131872,19281,0,0,1305,139,130658,8294,71578,10154,128557,110,144346,61291,1066,60294,0,118197,387,-9999999,109,20,20,59,59,261,0,290.77,0,995.7,0,5
5,690,177,73,63,56,0,57,19964,6500,2480,0,0,97,53,10102,2159,2784,1677,5862,410,9862,4630,68,3716,0,9841,38,-9999999,12,6,6,17,17,12,199,193,995,1026.49,199,5
5,1404,352,64,116,109,0,85,49667,11939,5031,0,0,96,108,17931,6892,6370,3309,14850,817,31736,11587,102,5569,0,17078,42,-9999999,0,0,0,0,0,0,0,96.22,0,278,0,5
5,3826,658,92,124,121,0,105,103831,26823,31452,0,0,133,119,59084,18251,8680,15479,15076,17654,44747,18199,200,18143,0,45585,59,-9999999,0,0,0,0,0,0,0,113.17,0,627.82,0,5
5,3251,814,129,171,168,0,253,54735,19476,4523,0,0,156,165,23016,5282,11133,3500,22619,22,31719,20821,300,8343,0,34740,78,-9999999,22,326,326,998,998,976,199,201.4,906,1007.19,199,5
33,965,647,109,163,74,65.17,126,106155,32216,18859,0,0,256,82,34394,11109,4429,4396,7450,11525,18182,1308,194,11453,95921,48121,100,-9999999,0,0,0,0,0,0,95.75,195.13,461.25,1228.59,95.75,33
4,7789,411,118,133,125,0,119,37378,11800,2808,0,0,146,92,21951,8631,4172,1511,10192,655,15427,7955,128,7628,0,18455,80,-9999999,11,49,49,94,94,82,0,77.92,0,377.42,0,4
5,2090,222,69,142,106,0,63,31522,7149,4570,0,0,107,100,14162,2872,3446,1652,11650,472,17360,6322,60,3703,0,12027,44,-9999999,37,60,60,81,81,62,0,142.6,0,696.4,0,5
38,3579,686,232,161,154,129.01,202,65970,24130,5060,0,0,265,99,47774,12800,5413,2394,12197,1510,18196,8338,285,18717,30060,39867,148,-9999999,24,1204,1204,2945,2945,2072,37,44.19,381.66,443.6,165,38
5,9316,1889,421,150,148,0,608,260297,89441,14984,0,0,547,146,148613,42286,39606,6413,83792,2022,111684,36833,661,49835,0,83798,175,-9999999,83,30,30,132,144,251,169,222.8,845,1177.8,169,5
5,8846,400,131,154,126,0,117,111487,41340,14883,0,0,173,134,53227,14589,19587,11343,30385,5526,58260,30008,161,21753,0,54494,86,-9999999,16,2,2,21,21,24,39,80.1,355,448.1,199,5
30,20590,562,207,165,151,2009.63,144,115389,49860,5498,0,0,282,145,44291,16403,32868,3239,47943,2000,71098,37142,240,16992,0,56984,93,-9999999,16,9,970,47,2090,43,95,129.98,443,673.04,95,30
140,1028,604,131,160,149,0,177,89300,20696,10636,0,0,158,121,57769,18996,7745,2796,17631,3148,31531,15106,150,12951,69157,40950,79,-9999999,11,16,16,86,86,103,204.73,204.93,1079.96,1133.36,251.23,140
56,28073,270,131,149,118,121.03,51,58871,25814,2956,0,0,209,115,15571,6395,19517,2436,27606,762,43300,29723,129,6297,56441,37605,107,-9999999,4,125,909,294,2485,248,92,91.13,628,607.1,134,56
5,22953,1175,517,172,166,0,375,344945,104999,39551,0,0,946,169,133351,42782,67571,28336,120747,12852,211594,115017,399,37428,0,190461,471,-9999999,12,35,35,88,88,84,0,231.47,0,1044.37,0,5
5,4041,1495,237,173,170,0,480,143697,48435,12719,0,0,307,171,74740,18259,23013,6499,44457,983,68957,33027,512,25422,0,72663,153,-9999999,13,7,7,29,29,22,0,193,0,947.96,0,5
94,17066,1077,352,173,171,332.1,297,418251,129384,19773,0,0,533,170,145327,52414,87770,8712,152190,2279,272896,177084,377,41614,0,254698,278,-9999999,26,119,119,365,365,370,96,282.25,480,1254.62,96,94
5,9854,859,196,173,168,0,261,163549,50777,8197,0,0,379,173,51145,13767,33487,4369,73351,4256,112404,48440,311,17290,0,74428,177,-9999999,35,653,653,1343,1343,1179,169,169.1,845,849.3,169,5
60,5238,60,26,47,42,20,14,15887,2347,119,0,0,31,9,14274,8366,703,0,731,0,1613,503,18,1644,425,6264,16,-9999999,6,39,39,138,138,135,648,658.8,850,892.7,648,60
50,1698,674,69,162,150,0.57,186,89376,34745,3575,0,0,112,142,40546,13529,18364,2306,30603,238,48830,20036,269,16381,83337,37638,47,-9999999,11,17,17,41,41,41,98,97.77,498.73,511.47,119,50
5,3090,128,75,100,85,0,40,16398,6911,852,0,0,87,48,10500,1653,1206,690,3659,0,5898,1252,63,5705,0,4770,21,-9999999,10,6,6,17,17,14,0,154,0,907.1,0,5
5,8226,4520,393,173,173,0,1182,285196,99201,29069,0,0,511,173,189382,56764,35920,8542,58731,10126,95814,55436,1510,63281,0,165183,337,-9999999,99,310,310,1053,1053,1045,189,230.57,915,965.9,189,5
5,10483,292,183,81,73,6.45,88,43190,15851,1562,0,0,227,61,22717,6146,6094,874,11891,425,20473,12776,130,9757,0,25737,95,-9999999,5,27,27,102,102,115,79,56.29,395,277.23,79,5
57,12175,608,271,165,158,21.15,164,103294,32455,16336,0,0,386,141,48761,17505,19908,7809,32655,12805,54533,40445,192,12547,0,75410,163,-9999999,38,44,53,103,140,82,151.7,478.45,703.7,1486.45,151.7,57
54,27076,399,98,164,146,71.06,124,99890,26819,4758,0,0,130,130,33181,13432,17339,3635,39411,0,66709,53033,159,9480,92837,73596,72,-9999999,11,22,22,82,82,87,118.29,171.16,532.29,387.21,166,54
1,3170,0,0,30,0,0,0,7713,2103,1850,0,0,46,30,0,0,2103,1850,4655,1183,7713,7686,0,0,0,7686,19,-9999999,0,24,24,32,32,8,81.25,111.85,81.25,111.85,81.25,1
5,9827,1576,533,173,171,0,499,226207,70281,8976,0,0,732,172,135116,47891,28179,3647,57878,384,91091,37060,574,42102,0,97025,239,-9999999,89,603,603,1612,1612,1470,199,235.75,1045,1245.62,214,5
5,8965,2178,402,172,172,0,450,264518,105200,24637,0,0,644,169,159462,54019,45907,9118,63999,8758,105056,49725,810,59293,0,124413,290,-9999999,26,14,14,78,78,85,0,210.2,0,1107.53,0,5
5,13500,2799,437,173,173,0,1182,281966,86858,31709,0,0,534,173,125884,24583,47965,18409,109794,6404,156082,80381,854,38893,0,144547,282,-9999999,33,193,193,506,506,410,0,233.68,0,1112.87,0,5
5,412,31,27,40,23,0,5,1835,1274,107,0,0,44,19,1101,172,461,75,553,20,734,585,18,813,0,672,14,-9999999,1,11,11,60,60,88,169,179,845,895.1,169,5
5,3868,324,53,118,108,0,65,43145,14014,1181,0,0,63,67,18954,6335,6248,142,8938,113,24191,8484,146,7766,0,17567,30,-9999999,5,6,6,16,16,19,59,131,295,684.6,59,5
5,518,135,27,116,77,0,49,12596,4802,1297,0,0,37,90,4379,819,3263,576,6639,466,8217,4311,46,1539,0,7309,22,-9999999,3,201,201,674,674,712,99,110.1,695,750.7,235.13,5
23,1223,94,44,80,57,4.94,15,11869,4681,1080,0,0,75,59,4518,1458,2527,709,4168,279,7351,3203,37,2154,11769,5632,46,-9999999,12,266,266,749,749,798,24,27.92,207,213.54,83,23
63,25446,1027,312,173,165,47.62,305,338291,117532,20404,0,0,429,171,104168,29919,81649,10038,142029,4100,234123,69889,401,35883,13911,128513,192,-9999999,40,40,40,75,75,60,391,420.58,2045,2220.02,448.88,63
21,6369,525,221,126,119,23.76,205,57657,17788,6092,0,0,272,92,46044,13696,4447,1309,8755,426,11613,3515,182,13341,21748,17389,89,-9999999,12,72,72,118,118,62,88,294.05,490,741.85,138,21
5,10715,553,245,164,157,0,139,60488,21252,9430,0,0,281,123,39019,7787,5259,4020,10967,4658,21469,6838,180,15993,0,24426,121,-9999999,10,10,10,17,17,9,0,220.4,0,553.85,0,5
46,5335,368,133,148,142,0,159,66728,27216,1889,0,0,146,55,52915,9971,3987,392,9019,0,13813,9647,164,23229,49258,38820,69,-9999999,6,2847,2847,2937,2937,893,122,191,490,902.39,122,46
14,4836,192,102,115,93,250.23,82,19546,8026,2061,0,0,148,83,7451,761,4801,1790,10065,0,12095,5429,87,3225,17534,9200,57,-9999999,5,4,4,21,21,27,112,126.06,484,480.48,118,14
47,22630,983,219,152,151,271.13,318,96372,34145,10218,0,0,282,141,45855,11356,18599,5974,32704,4519,50517,30304,328,15546,13230,56443,137,-9999999,29,15,15,87,87,102,145,160.33,555,630.97,145,47
13,2912,124,49,120,79,0,41,12154,4646,1487,0,0,67,84,6500,1175,2410,888,4494,98,5654,3626,54,2236,10653,7681,36,-9999999,2,79,79,248,248,254,199,224.66,995,1101.06,199,13
72,11929,870,306,171,171,259.4,232,115150,35347,7057,0,0,350,126,75357,27362,7940,3419,17880,324,39793,27133,353,27398,104416,72253,169,-9999999,15,33,33,56,56,34,88,169.6,547.99,972.11,175.99,72
5,1528,0,0,49,0,0,0,7926,933,1834,0,0,42,49,0,0,933,1834,3347,171,7926,5727,0,0,0,5727,17,-9999999,0,5,5,6,6,2,0,219,0,1161.64,0,5
67,3634,291,113,126,118,0,114,22490,11520,457,0,0,121,33,19096,2645,1707,39,2997,2,3394,299,121,9813,0,6553,38,-9999999,15,0,5,7,15,12,76,80.2,380,400.4,76,67
92,13989,428,117,160,144,6.08,90,40983,10866,2314,0,0,140,106,24799,10199,4518,1592,6688,1883,16184,11603,160,6348,37570,27490,67,-9999999,8,12,370,25,699,17,43,40.73,155,153.63,43.42,92
5,466,0,0,170,0,0,0,77614,19597,6047,0,0,162,170,0,0,19597,6047,45553,817,77614,31143,0,0,0,31143,83,-9999999,2,19,19,114,114,143,0,40,0,160,0,5
5,5328,1602,412,173,172,0,387,200268,67797,25413,0,0,613,169,113062,38695,31059,11137,50525,6908,87206,50234,536,36738,0,122420,378,-9999999,45,26,26,45,45,47,0,78.86,0,421.87,0,5
23,24690,794,292,171,169,1695.12,247,110884,44404,7537,0,0,403,148,61769,14011,18455,2559,32119,2935,49115,29154,330,25949,58145,65873,194,-9999999,39,71,71,250,250,279,108,124.98,320,528.77,108,23
64,11829,457,283,166,152,419.8,150,65073,17963,4428,0,0,372,127,26360,6664,7961,3668,18470,32,38713,15496,180,10002,32975,30440,161,-9999999,4,66,66,198,198,189,169.99,195.29,818.96,910.94,241,64
59,356,322,156,66,65,0,107,40273,20579,614,0,0,185,32,26872,6173,9172,352,12514,34,13401,1013,137,11407,0,3230,0,-9999999,47,43,43,131,131,118,51,193.05,255,701.73,51,59
34,21720,1027,429,164,155,34.2,352,138108,63310,7559,0,0,491,146,76375,15138,30451,4359,48181,1484,61733,32498,453,32859,121586,80815,208,-9999999,24,1446,1446,2971,2971,2041,100.3,102.7,332.3,345.62,100.3,34
5,5175,481,133,83,52,0,177,76348,27237,5240,0,0,235,47,27740,4172,7666,961,21771,1308,23699,6749,173,10119,0,40885,93,-9999999,0,0,0,0,0,0,60,60,300,300,60,5
27,1074,62,48,54,43,0,16,5422,1395,300,0,0,58,19,1867,482,721,143,3250,28,3555,1836,22,674,4587,3481,35,-9999999,0,0,0,0,0,0,0,199,0,995,0,27
108,11094,481,134,163,155,419.9,121,93492,38673,2783,0,0,194,127,44401,11902,20669,1322,36372,769,49091,18506,177,18004,88544,39781,73,-9999999,4,13,13,49,49,40,40,45.8,451.44,491.12,159.45,108
5,749,65,14,78,42,0,22,41400,11824,2176,0,0,27,66,12481,7303,10308,1774,16296,159,28919,12970,14,1516,0,22896,13,-9999999,0,0,0,0,0,0,0,209,0,1045,0,5
30,5592,409,182,149,138,0,166,55435,14187,7034,0,0,208,92,28392,6684,7807,1247,16135,4782,27043,12123,121,6380,0,22756,84,-9999999,22,13,16,24,42,17,76,196,380,800.2,76,30
52,2753,367,135,153,142,76,123,37128,13800,1705,0,0,150,87,22127,6710,5332,471,8237,422,15001,6754,140,8468,2538,17887,63,-9999999,6,18,18,47,47,37,71,72.1,400,664.68,107,52
59,6030,1016,209,163,157,152,129,82562,36412,2326,0,0,252,132,47666,17897,16211,982,20615,1212,34896,17878,476,20201,0,38887,109,-9999999,27,38,38,63,63,45,148,149.3,535,661.89,148,59
5,2841,1291,338,170,169,0,460,235888,87576,5833,0,0,996,158,123103,34033,42539,1527,85001,271,112785,62330,509,45037,0,137934,598,-9999999,131,556,556,1373,1373,1255,174,184,1070,1122.12,224,5
65,4230,120,64,78,65,4.5,43,13540,6772,705,0,0,97,38,6327,829,3966,266,6274,266,7213,6120,51,2806,9255,11052,58,-9999999,3,15,15,26,26,14,38,95.6,190,300.5,38,65
28,8724,536,185,159,145,0,158,45521,18514,4071,0,0,242,114,26834,6976,7842,2524,11116,2368,18687,12716,199,10654,33800,31917,98,-9999999,16,4,4,73,73,91,250,250.3,844,885.7,250,28
5,6532,329,135,141,125,0,114,56003,20550,3049,0,0,173,90,24638,8388,12205,1833,21642,1115,31365,15589,138,8345,0,25571,59,-9999999,5,1,1,6,6,6,0,33.1,0,233.26,0,5
108,13361,374,225,136,124,668.35,122,69125,31519,2794,0,0,274,99,39849,7210,14624,1436,19008,1361,29276,15217,152,16895,52941,43411,122,-9999999,13,39,39,100,100,106,19,97.7,204.99,520.63,88.99,108
5,26717,1005,281,173,172,0,279,135606,44544,7855,0,0,363,160,79150,25790,15245,2058,21591,835,56456,27535,369,29133,0,66581,187,-9999999,3,0,0,3,3,4,0,122,0,579.26,0,5
5,17976,1331,255,172,172,147.1,469,161472,57620,13479,0,0,348,155,89916,24732,30667,4279,56859,898,71556,37742,407,26874,0,84436,188,-9999999,15,82,82,224,224,215,57,107.6,278,558.22,57,5
50,11730,1173,216,173,173,2000.32,438,91783,28772,3682,0,0,280,172,41546,12682,16813,2543,32488,872,50237,30116,341,11959,84860,55400,146,-9999999,18,306,306,907,907,894,53,243.02,261,1709.84,53,50
35,17153,462,237,164,149,0,98,76575,26569,4521,0,0,318,130,24863,6797,15377,3134,32247,1791,51712,20849,172,11192,10128,28369,89,-9999999,16,9,9,44,44,89,169,169.6,845,867.95,169,35
114,16231,853,177,171,166,558.98,262,511490,191022,26366,0,0,235,167,228074,60115,96403,18369,157265,6878,283416,154339,303,94619,264917,287587,103,-9999999,12,305,305,1265,1265,1267,121.5,172.53,607.5,1400.7,121.5,114
5,29379,2547,671,173,173,0,840,377270,146743,36156,0,0,822,173,172932,30136,78450,21718,144090,7882,204338,111804,1031,68293,0,203260,358,-9999999,90,122,122,328,328,349,0,513.4,0,2417.68,0,5
153,31732,758,185,67,67,0,232,90837,37206,14047,0,0,269,67,43946,8131,21613,5593,37355,1362,46891,30327,256,15593,72248,59593,97,-9999999,22,11,437,28,1018,41,326,282.61,1313,1349.1,326,153
40,4500,333,129,144,137,0,56,26682,13313,4294,0,0,145,67,16723,4102,5318,2063,6340,3185,9959,7156,113,7995,0,16730,86,-9999999,5,83,83,300,300,324,187,253.4,786,1176.96,187,40
55,12874,369,202,160,140,0,123,44704,22190,2809,0,0,274,115,25092,3785,9727,1204,15603,486,19612,9635,144,12463,27344,22267,115,-9999999,9,2961,2961,2961,2961,1297,133,193.3,710,1055.3,178,55
5,3976,145,81,94,76,0,41,20721,9928,351,0,0,99,51,11566,2680,3608,65,5047,0,9155,5698,74,6320,0,10187,34,-9999999,0,0,0,0,0,0,0,131,0,689.05,0,5
114,18785,592,306,168,164,1283.14,224,115545,42396,7813,0,0,401,134,47891,8359,19893,5892,42906,300,67654,28704,251,22503,102891,53522,176,-9999999,27,10,10,816,816,836,226,525.76,510,949.55,226,114
5,4012,1091,179,173,170,0,313,143527,61372,15779,0,0,238,171,68887,13352,36801,6946,53519,1423,74640,31974,450,24571,0,62343,126,-9999999,27,301,301,919,919,939,174,174,842,927,192,5
17,7051,803,181,171,162,0,217,136082,47910,13557,0,0,285,169,57919,19122,27140,10653,43489,8946,78163,38333,282,20770,39465,65746,143,-9999999,4,1,1,5,5,5,129,129.2,645,774.6,129,17
5,8169,436,100,165,143,0,99,63354,24715,4874,0,0,134,156,26165,9459,16145,1568,25213,2891,37189,21713,143,8570,0,38141,88,-9999999,49,938,938,2202,2202,1715,109,134,545,636.1,109,5
99,11042,350,107,148,139,0,55,24571,8971,3778,0,0,119,57,19019,7518,3507,484,3693,2284,5552,3468,133,5464,21912,13986,48,-9999999,1,3,388,287,1238,386,139.66,119.76,491.66,471.96,139.66,99
93,13911,986,185,172,171,452.7,347,165889,87972,3306,0,0,243,147,100547,9648,36017,1447,54631,1324,65342,27738,456,51955,6439,67158,85,-9999999,8,40,40,104,104,117,71,329.25,355,1876.6,71,93
19,3404,329,62,144,131,0,57,38246,15545,2440,0,0,73,86,25237,8503,5379,1413,6480,169,13009,8010,114,10166,34830,25833,53,-9999999,4,25,25,100,100,103,140,385.6,696,1137.1,140,19
85,6221,2658,287,173,173,380,1021,504163,164617,26976,0,0,387,173,190467,37263,95709,17112,237546,9876,313696,152327,910,68508,482997,239102,200,-9999999,32,1323,1323,2975,2975,2161,208,211.3,1047.18,1109.58,215.18,85
5,5125,1462,121,168,166,0,170,100638,37552,13223,0,0,163,159,57629,21818,16748,6357,22684,7977,43009,17337,528,20804,0,35712,84,-9999999,27,7,7,57,57,66,0,202.6,0,1051.1,0,5
57,32097,1168,234,173,172,0,403,136896,52610,13900,0,0,413,173,52579,9336,33365,6905,60862,1172,84317,46496,457,19234,117762,73400,193,-9999999,123,86,86,214,214,199,2,331.98,6,972.27,2,57
11,2657,153,125,94,81,0,51,6783,3683,39,0,0,126,22,4355,915,1420,0,1553,14,2428,1599,74,2263,4043,5144,72,-9999999,6,2955,2955,2955,2955,1387,143.12,143.22,531.52,592.12,143.12,11
5,3445,0,0,32,0,0,0,16904,10423,1177,0,0,30,32,0,0,10423,1177,11364,0,16904,10771,0,0,0,10771,20,-9999999,0,3,3,17,17,18,0,128.52,0,456.52,0,5
5,698,319,86,161,135,0,90,49048,15880,4911,0,0,109,114,26253,10611,7853,3152,13636,325,22795,12208,108,8027,0,25305,54,-9999999,5,2,2,6,6,5,0,214.5,0,1072.06,0,5
48,15768,1121,250,172,170,191.95,342,180500,55301,8398,0,0,313,171,101096,29028,22188,4972,41445,441,79404,43292,414,33113,0,96166,142,-9999999,24,1,5,10,24,15,30,141.35,155,833.85,35,48
74,12765,746,257,172,170,668.05,291,55320,23120,4728,0,0,288,132,37106,4071,5919,2234,12380,25,18214,8625,291,17201,49405,30248,127,-9999999,12,7,201,25,622,20,225,237.3,1125,1127.6,225,74
68,14729,884,416,168,163,57,260,246949,45603,50946,0,0,472,130,111265,43480,15097,37062,24834,29411,135684,64919,284,30506,0,121876,232,-9999999,11,11,11,16,22,8,166,307,900,1262,226,68
5,2493,458,110,160,145,0,98,49485,16262,8445,0,0,172,148,19249,5606,9926,6052,16407,4211,30236,15000,119,6336,0,26499,71,-9999999,6,2,2,17,17,25,0,0,0,2461.27,0,5
5,21080,1275,434,173,171,0,426,271710,93605,23621,0,0,665,156,120865,39505,56539,11522,99129,2825,150845,69281,459,37066,0,133355,259,-9999999,39,216,216,668,668,775,0,269.6,0,1538.41,0,5
47,7867,130,68,163,32,28.8,50,55127,18563,7743,0,0,236,40,9172,449,1733,1577,6799,235,9302,4618,48,3599,0,28624,83,-9999999,26,10,21,21,42,21,10,80,118,444.32,78,47
131,15660,1477,358,173,172,0,376,189171,67694,19011,0,0,445,169,87773,24644,34909,11763,57730,3945,101398,70008,591,32785,97064,121859,207,-9999999,35,129,129,288,288,220,163,169.05,815,1107.95,163,131
5,1180,1913,191,173,172,0,603,209911,85063,14023,0,0,265,167,121130,30506,39767,4511,65904,1972,88781,54775,713,45260,0,129792,156,-9999999,26,4,4,71,71,69,0,672.22,0,3183.62,0,5
27,18221,1147,541,170,170,116.55,414,127093,45963,10392,0,0,660,123,64743,12511,22177,5727,45301,2787,62350,25975,420,23786,0,60673,249,-9999999,26,6,6,41,52,65,36,48,180,421.15,36,27
52,7961,197,120,114,92,64.1,72,25293,8077,843,0,0,161,69,14267,5252,4058,440,6347,0,11026,5827,78,4019,17521,13420,79,-9999999,8,2748,2748,2942,2942,1386,145,354.2,605,1377.48,155,52
