PHONE_USE_MTH,L90D_RG_CTT_TM,SCR_CELL_CALLED_TIMES,SCR_CELL_CALLED_PHONE_CNT,SCR_CELL_CTT_DAYS_CNT,SCR_CELL_CALLED_CTT_DAYS_CNT,SCR_CELL_180_CALLING_SUBTTL,SCR_CELL_MRNG_CALLED_TIMES,SCR_CELL_CALL_TTL_TIME,SCR_CELL_AFTN_CALL_TTL_TIME,SCR_CELL_NIGHT_CALL_TTL_TIME,SCR_CELL_90DAY_CALLING_TIMES,SCR_CELL_90DAY_CALL_TIMES,SCR_CELL_CALL_PHONE_CNT,SCR_CELL_CALLING_CTT_DAYS_CNT,SCR_CELL_CALLED_TTL_TIME,SCR_CELL_NIGHT_CALLED_TTL_TIME,SCR_CELL_AFTN_CALLING_TTL_TIME,SCR_CELL_NIGHT_CALLING_TTL_TIME,SCR_CELL_DAY_CALLING_TTL_TIME,SCR_CELL_EVN_CALL_TTL_TIME,SCR_CELL_CALLING_TTL_TIME,SCR_CELL_90DAY_CALLING_TTL_TIME,SCR_CELL_CALL_SMY_ANS_AFTN_CNT,SCR_CELL_CALL_SMY_ANS_AFTN_TM,SCR_CELL_LOCAL_CALL_TIME,SCR_CELL_90DAY_CALL_TTL_TIME,SCR_CELL_CALL_LSTM2_CONTACTS_CNT,SCR_CELL_NET_LSTM6_ONL_FLOW,SMS_L150D_TTL_PPL,SMS_L30D_SEND_CNT,SMS_L30D_TOTAL_CNT,sms_l90d_send_cnt,sms_l90d_total_cnt,SCR_CELL_SMS_LSTM3_SEND_CNT,TRC_LSM1_AVG_PLAN_AMT,TRC_LSM1_AVG_TOTAL_AMT,TRC_LSM5_PLAN_AMT,TRC_LSM5_TOTAL_AMT,SCR_CELL_MAX_PLAN_AMT,SCR_CELL_PH_USE_MONS
5,1595,154,47,136,86,0,44,47182,8488,9334,0,0,78,119,14173,5033,5674,6769,10463,4524,33009,21429,34,2814,0,33087,47,-9999999,8,243,243,688,688,635,60,70.1,300,514.12,60,5
5,21311,390,166,128,101,0,151,109212,36074,4527,0,0,255,108,52642,14348,15145,2966,31847,704,56570,36448,149,20929,0,84252,140,-9999999,14,29,29,59,59,57,0,494.85,19.9,1439.56,19.9,5
25,1388,130,29,149,74,0,26,39667,14164,2965,0,0,50,141,8691,3386,10858,2576,18315,1481,30968,12892,51,3305,0,16644,22,-9999999,0,0,4,0,9,0,76,76,395,408,85,25
113,19438,780,163,171,166,111.25,208,69534,24978,7238,0,0,201,159,33362,9519,12087,4373,21208,2465,36172,14805,285,12891,23126,29425,89,-9999999,4,18,18,47,47,38,89.98,146.03,425.94,942.79,109.97,113
3,202,4,4,5,4,0,2,364,47,0,0,0,6,3,166,0,28,0,198,0,198,198,2,19,0,364,3,-9999999,48,74,74,232,232,225,0,39,0,195.2,0,3
5,12170,862,317,162,157,0,267,120842,46118,9789,0,0,409,149,49251,8619,24179,5420,46716,1041,71591,44618,355,21939,0,74772,198,-9999999,4,1,1,2,2,2,0,158.3,0,540.49,0,5
112,1312,244,47,45,41,44.65,13,5109,1884,1140,0,0,53,16,3590,803,517,410,728,944,1519,905,31,1367,1655,3359,19,-9999999,2,34,34,81,81,52,683,684.85,1029.99,1121.36,683,112
5,360,14,7,18,11,0,2,1835,590,86,0,0,16,10,680,431,513,31,929,7,1155,1037,2,77,0,1659,14,-9999999,8,117,117,207,207,134,99,99.1,535,535.1,119,5
5,16831,282,61,164,103,0,100,188874,55065,20205,0,0,134,149,43140,11092,39146,16465,95218,967,145734,117205,92,15919,83504,127888,79,-9999999,0,23,23,67,67,62,0,209.1,0,508.95,0,5
5,21130,368,62,167,135,0,170,71995,22127,6185,0,0,124,154,19881,4795,17421,3749,42285,187,52114,32404,110,4706,0,42843,54,-9999999,21,490,490,1530,1530,1354,173.19,173.29,809.19,611.34,173.19,5
